"condition","humans","googlenet","vgg19","resnet152"
"c100",0.86625,0.924107142857143,0.950892857142857,0.967857142857143
"c50",0.83375,0.884821428571429,0.901785714285714,0.91875
"c30",0.82625,0.896428571428571,0.867857142857143,0.890178571428571
"c15",0.76375,0.7875,0.675892857142857,0.761607142857143
"c10",0.71875,0.645535714285714,0.539285714285714,0.651785714285714
"c05",0.47625,0.373214285714286,0.316071428571429,0.40625
"c03",0.2075,0.175892857142857,0.155357142857143,0.210714285714286
"c01",0.055,0.0678571428571429,0.0642857142857143,0.0678571428571429
